------------------------------------------------
Job ID: 36165353
Run on host: compg013.hpc.in.bmrc.ox.ac.uk
Operating system: Linux
Username: lhw539
Started at: Thu Feb 11 22:45:39 GMT 2021
------------------------------------------------
Number of GPUs:  2
----------------------------------------------------------------------------------------------------------------------
Passed arguments: 
{'DEBUG': 'full', 'TRAIN': 'pre_full', 'BATCH_SIZE': 4, 'NUM_WORKERS': 4, 'LOSS': 'ent', 'DROP': 0.7, 'PRE': 'age', 'TASK': 'sex', 'RUN': 0, 'PATH': '../../', 'INIT': 0, 'PL': 'none', 'PRO': 'full', 'WDEC': 0.01, 'MOM': 0.8, 'GAMMA': 0.2, 'N_EPOCHS': 100, 'PAT': 10, 'LR': 0.005, 'PL_LL': 'none', 'WDEC_LL': 0.001, 'MOM_LL': 0.9, 'GAMMA_LL': 0.1, 'N_EPOCHS_LL': 25, 'PAT_LL': 12, 'LR_LL': 0.01, 'RETRAIN': 0, 'PRINT_EVERY': 1}

----------------------------------------------------------------------------------------------------------------------
Pre-trained on:  age  prediction.
Run:  run_20191206_00_epoch_best_mae.p
Loading loaded OASIS train data.
Loading loaded OASIS   val data.

Start training of full model:  2021-02-11 22:45:46.582225
----------------------------------------------------------------------------------------------------------------------
|epoch:   0 | lr: 0.005 |train ent: 0.67704 |train ent ravg: 0.67704 |train acc:  0.59943 |train acc ravg:  0.59943 |val ent: 0.85850 |val entravg: 0.85850 |val acc:  0.45455 |val acc ravg:  0.45455 |
|epoch:   1 | lr: 0.005 |train ent: 0.59950 |train ent ravg: 0.63827 |train acc:  0.68750 |train acc ravg:  0.64347 |val ent: 0.68717 |val entravg: 0.77284 |val acc:  0.67045 |val acc ravg:  0.56250 |
|epoch:   2 | lr: 0.005 |train ent: 0.60465 |train ent ravg: 0.62707 |train acc:  0.67898 |train acc ravg:  0.65530 |val ent: 0.56827 |val entravg: 0.70465 |val acc:  0.73864 |val acc ravg:  0.62121 |
|epoch:   3 | lr: 0.005 |train ent: 0.55830 |train ent ravg: 0.58748 |train acc:  0.72727 |train acc ravg:  0.69792 |val ent: 0.55567 |val entravg: 0.60371 |val acc:  0.73864 |val acc ravg:  0.71591 |
|epoch:   4 | lr: 0.005 |train ent: 0.55519 |train ent ravg: 0.57271 |train acc:  0.76136 |train acc ravg:  0.72254 |val ent: 0.59794 |val entravg: 0.57396 |val acc:  0.67045 |val acc ravg:  0.71591 |
|epoch:   5 | lr: 0.005 |train ent: 0.53149 |train ent ravg: 0.54832 |train acc:  0.73011 |train acc ravg:  0.73958 |val ent: 0.53053 |val entravg: 0.56138 |val acc:  0.76136 |val acc ravg:  0.72348 |
|epoch:   6 | lr: 0.005 |train ent: 0.46504 |train ent ravg: 0.51724 |train acc:  0.80966 |train acc ravg:  0.76705 |val ent: 0.91227 |val entravg: 0.68025 |val acc:  0.45455 |val acc ravg:  0.62879 |
|epoch:   7 | lr: 0.005 |train ent: 0.52073 |train ent ravg: 0.50575 |train acc:  0.73011 |train acc ravg:  0.75663 |val ent: 0.60492 |val entravg: 0.68257 |val acc:  0.68182 |val acc ravg:  0.63258 |
|epoch:   8 | lr: 0.005 |train ent: 0.44832 |train ent ravg: 0.47803 |train acc:  0.80966 |train acc ravg:  0.78314 |val ent: 1.17784 |val entravg: 0.89834 |val acc:  0.46591 |val acc ravg:  0.53409 |
|epoch:   9 | lr: 0.005 |train ent: 0.42860 |train ent ravg: 0.46588 |train acc:  0.80682 |train acc ravg:  0.78220 |val ent: 0.60832 |val entravg: 0.79703 |val acc:  0.64773 |val acc ravg:  0.59848 |
|epoch:  10 | lr: 0.005 |train ent: 0.43414 |train ent ravg: 0.43702 |train acc:  0.82102 |train acc ravg:  0.81250 |val ent: 0.53383 |val entravg: 0.77333 |val acc:  0.81818 |val acc ravg:  0.64394 |
